model,match_type,scale,metric,n,mean,std,median,p25,p75,p90,min,max
A,oracle_best_same_class_nonexclusive,small,fraction_iou_ge_0.50,26586,0.7975626269465133,,,,,,,
A,oracle_best_same_class_nonexclusive,small,fraction_iou_ge_0.55,26586,0.7667945535244114,,,,,,,
A,oracle_best_same_class_nonexclusive,small,fraction_iou_ge_0.60,26586,0.7234634770179794,,,,,,,
A,oracle_best_same_class_nonexclusive,small,fraction_iou_ge_0.65,26586,0.6577145866245392,,,,,,,
A,oracle_best_same_class_nonexclusive,small,fraction_iou_ge_0.70,26586,0.5700368615060558,,,,,,,
A,oracle_best_same_class_nonexclusive,small,fraction_iou_ge_0.75,26586,0.4507259459866095,,,,,,,
A,oracle_best_same_class_nonexclusive,small,fraction_iou_ge_0.80,26586,0.30801925825622506,,,,,,,
A,oracle_best_same_class_nonexclusive,small,fraction_iou_ge_0.85,26586,0.16941247273000828,,,,,,,
A,oracle_best_same_class_nonexclusive,small,fraction_iou_ge_0.90,26586,0.05920409237944783,,,,,,,
A,oracle_best_same_class_nonexclusive,small,fraction_iou_ge_0.95,26586,0.0065447980139923265,,,,,,,
A,oracle_best_same_class_nonexclusive,medium,best_iou,11105,0.7888740401413402,0.2465950469346654,0.8736969249172476,0.779373845380776,0.9258882811229159,0.9530493457502077,0.0,0.9920691540271137
A,oracle_best_same_class_nonexclusive,medium,score,11062,0.6674867630223106,0.2637425428911942,0.7789584994316101,0.6003773659467697,0.850775957107544,0.8800442397594451,0.00103887845762074,0.9380290508270264
A,oracle_best_same_class_nonexclusive,medium,abs_center_dx_over_w,11062,0.47888526859182107,2.384610543328875,0.01911137630491895,0.007637487242786189,0.05048662845480514,0.1408587404101087,3.779998239675729e-06,40.333931058636146
A,oracle_best_same_class_nonexclusive,medium,abs_center_dy_over_h,11062,0.3100535099636709,1.5101741618019395,0.02086511768644809,0.008346301382294613,0.049428126242469526,0.1231113748645157,1.9661406597218706e-06,35.4607099688895
A,oracle_best_same_class_nonexclusive,medium,center_dx_over_w,11062,-0.013430706346509329,2.4321838252805907,0.004397527610307056,-0.01312833235455262,0.024103944019234824,0.07189550361304232,-40.333931058636146,35.48774835347322
A,oracle_best_same_class_nonexclusive,medium,center_dy_over_h,11062,-0.0072462784994958476,1.5416571179944296,0.0007931776102766651,-0.0197349818300145,0.021844066045192536,0.05873977694764067,-29.866401014283745,35.4607099688895
A,oracle_best_same_class_nonexclusive,medium,abs_log_w_ratio,11062,0.1019673911021736,0.19232816658972066,0.042007643118157724,0.016668058859458205,0.10103162388795152,0.22701450087061117,4.5122508680592305e-06,2.3799564807786973
A,oracle_best_same_class_nonexclusive,medium,abs_log_h_ratio,11062,0.09305060083948734,0.1657852996217386,0.043878798738405826,0.01869144211890058,0.0951062466415003,0.203031305980428,2.3796544499025926e-05,2.280133681233704
A,oracle_best_same_class_nonexclusive,medium,log_w_ratio,11062,-0.014223620609769394,0.21722145641878085,0.001410548366037984,-0.04314061151441012,0.040856686048277614,0.10828658967008212,-2.3799564807786973,2.0410614900194592
A,oracle_best_same_class_nonexclusive,medium,log_h_ratio,11062,0.000720630391146271,0.19011223153468743,0.00203435490516743,-0.042932733119013425,0.04454955671292296,0.11046352579772524,-2.280133681233704,1.9728353936292788
